,id,songs,song,artist,energy,dance,liveness,valence,tempo,instrumental,acoustic,popularity,genres
61,20,Steppin' Out Kaskade,Steppin' Out,Kaskade,0.915,0.702,0.163,0.909,128.012,0.0109,0.133,32,"['big room', 'chicago house', 'dance pop', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house', 'vocal house']"
62,20,Sæglópur Sigur Rós,Sæglópur,Sigur Rós,0.483,0.329,0.498,0.0702,101.332,0.807,0.0433,42,"['bow pop', 'chamber pop', 'compositional ambient', 'dream pop', 'ethereal wave', 'icelandic pop', 'icelandic rock', 'indie folk', 'melancholia', 'post-rock']"
63,21,Do You Mind DJ Khaled,Do You Mind,DJ Khaled,0.548,0.412,0.181,0.176,81.293,0,0.0173,64,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music']"
64,21,Can't Forget You San Holo,Can't Forget You (feat. The Nicholas),San Holo,0.76,0.553,0.364,0.213,131.986,0.00772,0.00282,52,"['bass trap', 'edm', 'electronic trap', 'pop', 'tropical house']"
65,21,Into You Ariana Grande,Into You,Ariana Grande,0.734,0.623,0.145,0.372,107.853,1.9e-06,0.0162,83,"['dance pop', 'pop', 'post-teen pop']"
66,22,Broccoli D.R.A.M ft. Lil Yachty,Broccoli D.R.A.M ft. Lil Yachty,,,,,,,,,,
67,22,Dat $tick Rich Chigga,Dat $tick,Rich Brian,0.508,0.923,0.126,0.168,108.039,1.21e-05,0.104,73,"['indonesian hip hop', 'underground hip hop', 'vapor trap']"
68,22,Dissolve Absofacto,Dissolve,Absofacto,0.582,0.688,0.0663,0.872,85.486,0.000157,0.23,57,"['indie psych-pop', 'indie psych-rock', 'shimmer psych']"
69,23,The Greatest Sia,The Greatest,Sia,0.725,0.668,0.0561,0.729,191.944,0.000479,0.0102,78,"['australian dance', 'australian pop', 'dance pop', 'pop']"
70,23,11 Blocks Wrabel,11 Blocks,Wrabel,0.711,0.553,0.142,0.293,99.515,0,0.0216,67,"['dance pop', 'electropop', 'indie poptimism', 'modern rock', 'neo mellow', 'pop', 'post-teen pop', 'viral pop']"
71,23,Crazier Taylor Swift,Crazier,Taylor Swift,0.544,0.452,0.104,0.158,133.042,5.33e-06,0.0631,58,"['dance pop', 'pop', 'post-teen pop']"
72,24,Justified A Day to Remember,Justified,A Day To Remember,0.894,0.376,0.105,0.0433,126.287,0.00132,0.000487,50,"['metalcore', 'pop punk', 'rap metal', 'screamo']"
