id,tempo,tempo_categorical,liveness,liveness_categorical,valence,valence_categorical,energy,energy_categorical,dance,dance_categorical,acoustic,acoustic_categorical,instrumental,instrumental_categorical,enjoy_life,resilience,balanced,emotional_flexibility,self_actualization,health,health_categorical,gender,age_range,hours_of_music,hours_of_music_categorical,traumatic_experience,#_songs_missing
57,152.7466667,Fast,0.154666667,Low,0.518,High,0.575,Low,0.513333333,Low,0.301766667,High,0.001756333,Low,3,6,1,3,6,19,Medium,Female,18 - 30,1-2 hours,Medium,No,0
58,122.9463333,Medium-Fast,0.221333333,High,0.550333333,High,0.543333333,Low,0.706666667,High,0.23,High,0.000153333,Low,2,4,2,3,3,14,Medium,Male,18 - 30,2+ hours,High,No,0
59,120.997,Medium-Fast,0.195333333,High,0.462,High,0.470666667,Low,0.478,Low,0.606333333,High,0.00035428,Low,1,4,1,2,5,13,Medium,Female,18 - 30,0 - 1 hours,Low,Yes,0
60,123.3706667,Medium-Fast,0.268333333,High,0.678666667,High,0.774333333,High,0.662333333,High,0.272433333,High,0,Low,4,5,4,4,6,23,High,Female,18 - 30,2+ hours,High,Yes,0
61,148.359,Fast,0.066333333,Low,0.557666667,High,0.653666667,High,0.684333333,High,0.069366667,Low,0.079491827,High,1,5,6,1,6,19,Medium,Female,18 - 30,1-2 hours,Medium,No,0
62,155.958,Fast,0.1317,Low,0.3635,Low,0.5905,Low,0.7455,High,0.10105,Low,0.0000322,Low,6,6,5,5,5,27,High,Male,18 - 30,1-2 hours,Medium,No,1
63,118.2313333,Medium-Fast,0.312,High,0.552333333,High,0.711333333,High,0.603333333,Low,0.121966667,Low,0,Low,2,3,2,3,3,13,Medium,Female,18 - 30,0 - 1 hours,Low,Yes,0
64,127.035,Medium-Fast,0.1142,Low,0.514666667,High,0.581,Low,0.735666667,High,0.313,High,0.00000183,Low,3,5,3,5,4,20,Medium,Female,18 - 30,1-2 hours,Medium,Yes,0
65,123.6996667,Medium-Fast,0.304,High,0.407666667,Low,0.958333333,High,0.531666667,Low,0.000366667,Low,0.00014232,Low,2,4,5,4,6,21,High,Female,18 - 30,1-2 hours,Medium,No,0
66,139.958,Fast,0.1125,Low,0.659,High,0.577333333,Low,0.754333333,High,0.322333333,High,0,Low,1,2,3,2,5,13,Medium,Female,18 - 30,0 - 1 hours,Low,Yes,0
67,111.8953333,Medium-Fast,0.144533333,Low,0.583333333,High,0.683,High,0.668,High,0.226266667,High,0.000131433,Low,4,4,2,3,4,17,Medium,Female,18 - 30,2+ hours,High,Yes,0
68,167.012,Fast,0.244366667,High,0.810333333,High,0.791,High,0.661,High,0.366,High,6.13E-07,Low,4,4,3,5,6,22,High,Female,18 - 30,2+ hours,High,Yes,0
69,113.301,Medium-Fast,0.187,Low,0.7485,High,0.7295,High,0.7575,High,0.232,High,0.0000233,Low,4,5,4,3,4,20,Medium,Male,30+,1-2 hours,Medium,No,1
70,99.9765,Medium-Slow,0.0789,Low,0.587,High,0.6435,Low,0.625,Low,0.0263,Low,0.062215,High,6,5,4,3,5,23,High,Female,30+,1-2 hours,Medium,Yes,1
71,134.8173333,Fast,0.196,High,0.479666667,High,0.696333333,High,0.647666667,High,0.104296667,Low,0,Low,5,4,5,3,5,22,High,Female,18 - 30,2+ hours,High,Yes,0
72,105.7413333,Medium-Slow,0.145333333,Low,0.274666667,Low,0.593333333,Low,0.622666667,Low,0.081433333,Low,0.000906667,Low,2,6,4,5,5,22,High,Female,18 - 30,2+ hours,High,Yes,0
73,93.2985,Medium-Slow,0.144,Low,0.24,Low,0.473,Low,0.4515,Low,0.4553,High,0.4645,High,1,4,2,2,5,14,Medium,Male,18 - 30,1-2 hours,Medium,No,1
74,117.9706667,Medium-Fast,0.110433333,Low,0.515,High,0.464333333,Low,0.711333333,High,0.385,High,0,Low,3,2,2,1,6,14,Medium,Female,18 - 30,2+ hours,High,No,0
75,98.353,Medium-Slow,0.159866667,Low,0.387,Low,0.639,Low,0.697666667,High,0.326306667,High,0.011366667,Low,3,4,4,4,5,20,Medium,Female,18 - 30,1-2 hours,Medium,Yes,0
76,172.604,Fast,0.232,High,0.5505,High,0.66,High,0.666,High,0.10315,Low,0.000002745,Low,3,4,3,4,5,19,Medium,Female,18 - 30,1-2 hours,Medium,No,1
77,107.793,Medium-Slow,0.112833333,Low,0.482,High,0.705,High,0.768333333,High,0.140033333,Low,1.70E-05,Low,3,4,3,3,5,18,Medium,Male,18 - 30,2+ hours,High,No,0
78,129.0603333,Medium-Fast,0.083666667,Low,0.422666667,Low,0.675333333,High,0.539333333,Low,0.427666667,High,0.0740221,High,3,5,4,5,4,21,High,Male,18 - 30,2+ hours,High,Yes,0
79,109.216,Medium-Slow,0.2855,High,0.3305,Low,0.6105,Low,0.543,Low,0.16637,Low,0.000002195,Low,3,5,1,2,4,15,Medium,Female,18 - 30,1-2 hours,Medium,Yes,1
80,133.7006667,Fast,0.273666667,High,0.37,Low,0.596333333,Low,0.657333333,High,0.120266667,Low,0.001532247,Low,4,5,1,5,4,19,Medium,Male,18 - 30,1-2 hours,Medium,No,0
81,105.383,Medium-Slow,0.309666667,High,0.299666667,Low,0.558666667,Low,0.623333333,Low,0.152,Low,0.00000063,Low,2,4,3,5,4,18,Medium,Male,18 - 30,2+ hours,High,No,0
82,105.088,Medium-Slow,0.127,Low,0.203833333,Low,0.473666667,Low,0.504333333,Low,0.337866667,High,0.31394,High,3,5,5,5,3,21,High,Female,18 - 30,2+ hours,High,No,0
83,153.3736667,Fast,0.116166667,Low,0.569,High,0.628666667,Low,0.742,High,0.327,High,2.74E-06,Low,3,5,5,5,3,21,High,Female,18 - 30,2+ hours,High,No,0
84,127.3206667,Medium-Fast,0.161666667,Low,0.521333333,High,0.841666667,High,0.529333333,Low,0.046618333,Low,0.275666667,High,5,4,4,4,6,23,High,Male,18 - 30,2+ hours,High,No,0
85,142.0363333,Fast,0.186666667,Low,0.478666667,High,0.599666667,Low,0.766,High,0.06336,Low,5.09E-05,Low,3,5,5,5,4,22,High,Male,18 - 30,2+ hours,High,Yes,0
86,132.3023333,Fast,0.1062,Low,0.475,High,0.527333333,Low,0.766333333,High,0.256715333,High,6.63E-06,Low,6,3,5,3,5,22,High,Female,18 - 30,2+ hours,High,Yes,0
87,117.622,Medium-Fast,0.237,High,0.396,Low,0.572,Low,0.726,High,0.0538,Low,0.0000179,Low,4,5,2,4,4,19,Medium,Female,18 - 30,0 - 1 hours,Low,No,1
88,111.3616667,Medium-Fast,0.1766,Low,0.365,Low,0.545,Low,0.734333333,High,0.219596667,High,0.037035,Low,3,2,4,3,1,13,Medium,Male,18 - 30,2+ hours,High,No,0
89,112.6673333,Medium-Fast,0.099133333,Low,0.338666667,Low,0.672666667,High,0.528333333,Low,0.076433333,Low,1.77E-06,Low,2,3,4,2,5,16,Medium,Male,18 - 30,1-2 hours,Medium,Yes,0
90,133.293,Fast,0.087866667,Low,0.548666667,High,0.695333333,High,0.699666667,High,0.0356,Low,0.001691,Low,4,3,3,3,4,17,Medium,Male,18 - 30,0 - 1 hours,Low,No,0
91,107.6303333,Medium-Slow,0.244,High,0.341666667,Low,0.698333333,High,0.601333333,Low,0.0774,Low,4.79E-05,Low,3,2,3,1,3,12,Medium,Female,18 - 30,1-2 hours,Medium,Yes,0
92,147.906,Fast,0.403,High,0.246,Low,0.677,High,0.365,Low,0.0111,Low,0.0033,Low,3,2,1,5,3,14,Medium,Male,18 - 30,0 - 1 hours,Low,No,2
93,125.648,Medium-Fast,0.329,High,0.4028,Low,0.752666667,High,0.661333333,High,0.0479,Low,0.000446667,Low,2,5,3,6,5,21,High,Male,30+,1-2 hours,Medium,No,0
