tempo,liveness,valence,energy,dance,acoustic,instrumental,health
132.251,0.124766667,0.322333333,0.491,0.454,0.275393333,0.026210967,17
138.976,0.416666667,0.767,0.769,0.601666667,0.152366667,0,20
114.1576667,0.2364,0.578333333,0.686333333,0.648,0.1919,0.1098,16
125.806,0.306666667,0.328333333,0.457,0.627,0.42476,0.00676762,17
128.8043333,0.1637,0.159666667,0.375666667,0.423666667,0.768333333,5.33E-06,9
134.9903333,0.134333333,0.489,0.565,0.803333333,0.118596667,0.00000183,18
119.9876667,0.105866667,0.658,0.636333333,0.825,0.189866667,1.98E-06,23
117.653,0.080766667,0.535,0.578,0.637333333,0.162066667,0.00047798,10
116.818,0.2688,0.54,0.715666667,0.627666667,0.221566667,5.97E-07,25
115.8716667,0.1844,0.433,0.746666667,0.598666667,0.127566667,0.0044,15
138.677,0.147666667,0.586333333,0.610666667,0.815333333,0.148233333,0.0000958,18
121.3053333,0.101966667,0.571666667,0.557,0.839333333,0.1605,0.001053333,27
113.278,0.1825,0.339,0.643,0.611333333,0.124506667,0.00082,20
135.0013333,0.215,0.365,0.692,0.740666667,0.1022,0.00002533,27
120.8506667,0.230333333,0.714666667,0.827666667,0.728,0.034703333,0.000203667,22
126.2306667,0.279666667,0.564666667,0.855666667,0.493333333,0.017887,0.246666667,20
140.8136667,0.391966667,0.728,0.703666667,0.528333333,0.612666667,0.001714843,24
156.376,0.122,0.249,0.544,0.41,0.522333333,0.00214,19
124.76,0.2513,0.485333333,0.863,0.622333333,0.11242,0.00000054,27
147.792,0.210333333,0.379333333,0.649333333,0.673,0.163633333,0.00000046,25
108.9883333,0.291533333,0.495666667,0.755,0.773333333,0.208166667,0.000467357,21
110.1876667,0.342333333,0.408666667,0.614933333,0.483333333,0.297973333,8.49E-05,21
125.6376667,0.125866667,0.519666667,0.687,0.655666667,0.190666667,0.00000721,17
93.33866667,0.135533333,0.233333333,0.393666667,0.742666667,0.412366667,0.289154667,23
132.267,0.126933333,0.531,0.876333333,0.610333333,0.1222,0.043026667,20
112.6423333,0.097433333,0.382,0.664,0.633666667,0.067533333,0.021746667,20
143.7853333,0.1948,0.489066667,0.767666667,0.658333333,0.055046667,0.001879,9
114.6973333,0.222,0.406966667,0.69,0.606,0.296633333,0.000343333,19
100.3023333,0.180333333,0.174333333,0.4483,0.560666667,0.356943333,0.000118333,17
94.86666667,0.163733333,0.431,0.670333333,0.532,0.131986667,0.007347367,19
124.538,0.251866667,0.553666667,0.711333333,0.560666667,0.023270067,0.011176333,15
117.334,0.2723,0.751,0.701666667,0.602,0.048933333,3.67E-05,23
