tempo,liveness,valence,energy,dance,acoustic,instrumental,health
97.88766667,0.182333333,0.457,0.633666667,0.682666667,0.173833333,0,9
102.6793333,0.180333333,0.514333333,0.659333333,0.696333333,0.303,1.37333E-05,11
147.3313333,0.120033333,0.479666667,0.672,0.711666667,0.10012,4.09333E-06,12
107.3293333,0.157233333,0.604,0.741,0.658,0.196566667,1.65467E-05,21
126.01,0.24,0.804,0.916,0.671,0.0282,0.00762,23
163.0533333,0.141333333,0.308666667,0.614666667,0.586,0.292,0.000107337,23
101.2063333,0.092933333,0.666333333,0.589333333,0.565666667,0.262066667,1.24667E-05,22
149.2555,0.2906,0.524,0.5425,0.421,0.31435,0.002475,25
101.678,0.2085,0.503,0.776,0.576,0.02835,0.00001285,23
139.7016667,0.164333333,0.389,0.733666667,0.628666667,0.15905,0.00000223,20
106.9383333,0.124566667,0.181666667,0.428666667,0.635333333,0.071133333,8.36667E-05,13
151.975,0.1676,0.405333333,0.939666667,0.394333333,0.007484,7.95667E-06,8
152.7466667,0.154666667,0.518,0.575,0.513333333,0.301766667,0.001756333,19
122.9463333,0.221333333,0.550333333,0.543333333,0.706666667,0.23,0.000153333,14
120.997,0.195333333,0.462,0.470666667,0.478,0.606333333,0.00035428,13
123.3706667,0.268333333,0.678666667,0.774333333,0.662333333,0.272433333,0,23
148.359,0.066333333,0.557666667,0.653666667,0.684333333,0.069366667,0.079491827,19
155.958,0.1317,0.3635,0.5905,0.7455,0.10105,0.0000322,27
118.2313333,0.312,0.552333333,0.711333333,0.603333333,0.121966667,0,13
127.035,0.1142,0.514666667,0.581,0.735666667,0.313,0.00000183,20
123.6996667,0.304,0.407666667,0.958333333,0.531666667,0.000366667,0.00014232,21
139.958,0.1125,0.659,0.577333333,0.754333333,0.322333333,0,13
111.8953333,0.144533333,0.583333333,0.683,0.668,0.226266667,0.000131433,17
167.012,0.244366667,0.810333333,0.791,0.661,0.366,6.13333E-07,22
113.301,0.187,0.7485,0.7295,0.7575,0.232,0.0000233,20
99.9765,0.0789,0.587,0.6435,0.625,0.0263,0.062215,23
134.8173333,0.196,0.479666667,0.696333333,0.647666667,0.104296667,0,22
105.7413333,0.145333333,0.274666667,0.593333333,0.622666667,0.081433333,0.000906667,22
93.2985,0.144,0.24,0.473,0.4515,0.4553,0.4645,14
117.9706667,0.110433333,0.515,0.464333333,0.711333333,0.385,0,14
98.353,0.159866667,0.387,0.639,0.697666667,0.326306667,0.011366667,20
172.604,0.232,0.5505,0.66,0.666,0.10315,0.000002745,19
107.793,0.112833333,0.482,0.705,0.768333333,0.140033333,1.69667E-05,18
129.0603333,0.083666667,0.422666667,0.675333333,0.539333333,0.427666667,0.0740221,21
109.216,0.2855,0.3305,0.6105,0.543,0.16637,0.000002195,15
133.7006667,0.273666667,0.37,0.596333333,0.657333333,0.120266667,0.001532247,19
