energy,dance,valence,tempo,popularity
0.705,0.768333333,0.482,0.300640087,0.7
0.675333333,0.539333333,0.422666667,0.551801376,0.706666667
0.596333333,0.657333333,0.37,0.606602422,0.73
0.558666667,0.623333333,0.299666667,0.272178657,0.743333333
0.473666667,0.504333333,0.203833333,0.26869479,0.6
0.628666667,0.742,0.569,0.838935078,0.836666667
0.841666667,0.529333333,0.521333333,0.531256397,0.553333333
0.599666667,0.766,0.478666667,0.705044325,0.76
0.527333333,0.766333333,0.475,0.590088494,0.85
0.545,0.734333333,0.365,0.342785048,0.57
0.672666667,0.528333333,0.338666667,0.358204607,0.623333333
0.698333333,0.601333333,0.341666667,0.298719038,0.71
0.752666667,0.661333333,0.4028,0.511502669,0.656666667
0.732,0.799333333,0.755666667,0.547093234,0.573333333
0.511333333,0.632,0.385666667,0.30660006,0.776666667
0.604666667,0.577666667,0.390666667,0.328483475,0.56
0.766666667,0.663333333,0.418333333,0.298888312,0.813333333
0.727333333,0.679666667,0.487666667,0.598552128,0.726666667
0.890666667,0.541,0.305333333,0.70048971,0.526666667
0.837,0.547,0.323333333,0.37929677,0.53
0.482,0.663,0.464,0.665879352,0.886666667
0.455666667,0.477666667,0.272,0.700757396,0.693333333
0.773333333,0.334666667,0.266333333,0.995535925,0.33
0.941,0.504,0.343,0.75993985,0.37
0.802,0.658666667,0.786333333,0.58532524,0.683333333
0.444,0.788,0.569,0.539141354,0.656666667
0.714666667,0.689,0.608666667,0.781024139,0.806666667
0.745333333,0.714,0.460333333,0.306848064,0.78
0.649,0.741333333,0.352,0.273040767,0.826666667
0.693333333,0.711,0.409666667,0.586781772,0.926666667
0.915,0.355666667,0.217333333,0.357488151,0.38
0.719,0.595,0.536666667,0.439534225,0.846666667
0.605,0.632666667,0.527,0.913619759,0.813333333
0.599666667,0.692,0.338666667,0.445175335,0.843333333
0.549423333,0.475666667,0.498666667,0.513341049,0.453333333
0.512333333,0.584666667,0.622,0.193289716,0.673333333
0.571,0.627333333,0.446,0.35400822,0.603333333
0.715666667,0.649666667,0.486666667,0.402254869,0.653333333
0.459333333,0.542333333,0.331233333,0.276579748,0.566666667
0.535666667,0.551,0.354666667,0.665808494,0.613333333
0.623333333,0.687666667,0.587,0.630036846,0.843333333
0.667333333,0.729,0.621666667,0.246287811,0.583333333
0.742666667,0.731333333,0.496333333,0.633630938,0.206666667
0.533,0.658666667,0.415666667,0.310946038,0.683333333
0.726666667,0.633,0.539,0.275949895,0.636666667
0.642666667,0.729,0.390666667,0.657466894,0.82
0.857333333,0.456666667,0.543,0.925445227,0.366666667
0.407333333,0.51,0.230333333,0.290676618,0.31
0.491,0.454,0.322333333,0.589482262,0.633333333
0.701,0.736,0.403666667,0.660293353,0.773333333
0.573,0.322,0.1769,0.187282504,0.3
0.686333333,0.648,0.578333333,0.37580503,0.46
0.702333333,0.741,0.516333333,0.244008535,0.553333333
0.474,0.569666667,0.317,0.706166249,0.743333333
0.778333333,0.468666667,0.45,0.39710583,0.583333333
0.548333333,0.615333333,0.286666667,0.405352954,0.813333333
0.761333333,0.645,0.403666667,0.664403137,0.51
0.516666667,0.695333333,0.532333333,0.85508684,0.753333333
0.513333333,0.642333333,0.3,0.2103587,0.743333333
0.578666667,0.775666667,0.300666667,0.423343096,0.766666667
0.564666667,0.821,0.485333333,0.433239643,0.726666667
0.375666667,0.423666667,0.159666667,0.548778087,0.593333333
0.513666667,0.759,0.535333333,0.645519392,0.786666667
0.608333333,0.699,0.45,0.535444911,0.896666667
0.636333333,0.825,0.658,0.444655708,0.88
0.812,0.571,0.615666667,0.30816288,0.52
0.526666667,0.533,0.229333333,0.55671422,0.69
0.578,0.637333333,0.535,0.417083944,0.826666667
0.913333333,0.397,0.401666667,0.849819705,0.523333333
0.61,0.629,0.396333333,0.472684114,0.616666667
0.715666667,0.627666667,0.54,0.407222826,0.676666667
0.816666667,0.581333333,0.473333333,0.609417072,0.74
0.610666667,0.815333333,0.586333333,0.665371534,0.68
0.607,0.754333333,0.591666667,0.058981687,0.82
0.795666667,0.567333333,0.377666667,0.616609193,0.87
0.557,0.839333333,0.571666667,0.460216984,0.77
0.597666667,0.745666667,0.490666667,0.480277765,0.463333333
0.706333333,0.558333333,0.420333333,0.469684444,0.433333333
0.643,0.611333333,0.339,0.365416411,0.736666667
0.666333333,0.671333333,0.521666667,0.401770671,0.85
0.692,0.740666667,0.365,0.621962933,0.77
0.763333333,0.718666667,0.713666667,0.389563356,0.833333333
0.658666667,0.721333333,0.634333333,0.597571921,0.606666667
0.526666667,0.731333333,0.562666667,0.551632104,0.786666667
0.827666667,0.728,0.714666667,0.454847498,0.8
0.612333333,0.659666667,0.484666667,0.516049412,0.923333333
0.855666667,0.493333333,0.564666667,0.518383801,0.673333333
0.547,0.581,0.208,0.543440093,0.73
0.703666667,0.528333333,0.728,0.690604973,0.646666667
0.544,0.41,0.249,0.874391799,0.623333333
0.853333333,0.557333333,0.784333333,0.822444769,0.453333333
0.822,0.488333333,0.334666667,0.914946384,0.666666667
0.492,0.554666667,0.180933333,0.618077534,0.603333333
0.569,0.756666667,0.421333333,0.551529752,0.65
0.554,0.624666667,0.223666667,0.541963878,0.753333333
0.601666667,0.707,0.411,0.508160518,0.906666667
0.638333333,0.6,0.315666667,0.508380966,0.746666667
0.371666667,0.434,0.402333333,0.095725668,0.536666667
0.738666667,0.754,0.653333333,0.547333365,0.55
0.763666667,0.625,0.542333333,0.510420111,0.7
0.863,0.622333333,0.485333333,0.501015636,0.676666667
0.755,0.773333333,0.495666667,0.314756641,0.653333333
0.599666667,0.550333333,0.404333333,0.341989859,0.77
0.614933333,0.483333333,0.408666667,0.328920434,0.466666667
0.846333333,0.520333333,0.509333333,0.641468657,0.34
0.665666667,0.729333333,0.481,0.554462501,0.67
0.687,0.655666667,0.519666667,0.511380636,0.733333333
0.644666667,0.636,0.412333333,0.270285166,0.783333333
0.876333333,0.610333333,0.531,0.589671217,0.88
0.664,0.633666667,0.382,0.357909364,0.56
0.23,0.244666667,0.0571,0.277276521,0.586666667
0.559666667,0.620666667,0.412,0.468046829,0.64
0.69,0.619666667,0.4,0.559198199,0.79
0.69,0.606,0.406966667,0.382178342,0.71
0.4483,0.560666667,0.174333333,0.212177397,0.576666667
0.670333333,0.532,0.431,0.147983687,0.516666667
0.506666667,0.599666667,0.297666667,0.224613034,0.756666667
0.701666667,0.602,0.751,0.413316642,0.696666667
0.588333333,0.834333333,0.553,0.334372588,0.683333333
0.345,0.435666667,0.202833333,0.532228731,0.5
