energy,dance,liveness,valence,tempo,instrumental,acoustic,popularity,health
0.705,0.768333333,0.112833333,0.482,107.793,1.70E-05,0.140033333,70,18
0.675333333,0.539333333,0.083666667,0.422666667,129.0603333,0.0740221,0.427666667,70.66666667,21
0.596333333,0.657333333,0.273666667,0.37,133.7006667,0.001532247,0.120266667,73,19
0.558666667,0.623333333,0.309666667,0.299666667,105.383,0.00000063,0.152,74.33333333,18
0.473666667,0.504333333,0.127,0.203833333,105.088,0.31394,0.337866667,60,21
0.628666667,0.742,0.116166667,0.569,153.3736667,2.74E-06,0.327,83.66666667,21
0.841666667,0.529333333,0.161666667,0.521333333,127.3206667,0.275666667,0.046618333,55.33333333,23
0.599666667,0.766,0.186666667,0.478666667,142.0363333,5.09E-05,0.06336,76,22
0.527333333,0.766333333,0.1062,0.475,132.3023333,6.63E-06,0.256715333,85,22
0.545,0.734333333,0.1766,0.365,111.3616667,0.037035,0.219596667,57,13
0.672666667,0.528333333,0.099133333,0.338666667,112.6673333,1.77E-06,0.076433333,62.33333333,16
0.698333333,0.601333333,0.244,0.341666667,107.6303333,4.79E-05,0.0774,71,12
0.752666667,0.661333333,0.329,0.4028,125.648,0.000446667,0.0479,65.66666667,21
0.732,0.799333333,0.100833333,0.755666667,128.6616667,0.000428,0.304433333,57.33333333,20
0.511333333,0.632,0.135,0.385666667,108.2976667,0.000175333,0.374133333,77.66666667,15
0.604666667,0.577666667,0.330666667,0.390666667,110.1506667,0.013868133,0.160466667,56,24
0.766666667,0.663333333,0.266,0.418333333,107.6446667,0.00082,0.02149,81.33333333,25
0.727333333,0.679666667,0.116666667,0.487666667,133.019,0.000335753,0.1008,72.66666667,20
0.890666667,0.541,0.399,0.305333333,141.6506667,0.035428,0.000396,52.66666667,14
0.837,0.547,0.154533333,0.323333333,114.4533333,0.612683267,0.368066667,53,17
0.482,0.663,0.114833333,0.464,138.72,0.00000183,0.491666667,88.66666667,26
0.455666667,0.477666667,0.116333333,0.272,141.6733333,0,0.436,69.33333333,14
0.773333333,0.334666667,0.122033333,0.266333333,166.634,0.010992667,0.003586,33,14
0.941,0.504,0.349,0.343,146.6846667,0.065443333,0.000205067,37,13
0.802,0.658666667,0.272266667,0.786333333,131.899,0,0.019926667,68.33333333,16
0.444,0.788,0.167433333,0.569,127.9883333,0.0022173,0.215066667,65.66666667,23
0.714666667,0.689,0.207333333,0.608666667,148.47,0.00000183,0.273766667,80.66666667,15
0.745333333,0.714,0.137666667,0.460333333,108.3186667,0.000907937,0.044546667,78,22
0.649,0.741333333,0.197666667,0.352,105.456,0,0.0954,82.66666667,23
0.693333333,0.711,0.133666667,0.409666667,132.0223333,1.48E-05,0.095,92.66666667,20
0.915,0.355666667,0.232433333,0.217333333,112.6066667,0.492500333,0.000733833,38,15
0.719,0.595,0.158666667,0.536666667,119.554,0,0.269333333,84.66666667,24
0.605,0.632666667,0.150666667,0.527,159.6976667,0.00044183,0.075166667,81.33333333,23
0.599666667,0.692,0.192,0.338666667,120.0316667,0.0008435,0.027506667,84.33333333,19
0.549423333,0.475666667,0.345566667,0.498666667,125.8036667,0.296299033,0.474553333,45.33333333,12
0.512333333,0.584666667,0.183766667,0.622,98.703,0.000135,0.485,67.33333333,27
0.571,0.627333333,0.212,0.446,112.312,0.000289467,0.114106667,60.33333333,22
0.715666667,0.649666667,0.145133333,0.486666667,116.3973333,0.000753877,0.073693333,65.33333333,18
0.459333333,0.542333333,0.083366667,0.331233333,105.7556667,0.088333333,0.642333333,56.66666667,12
0.535666667,0.551,0.392833333,0.354666667,138.714,0,0.679,61.33333333,22
0.623333333,0.687666667,0.116333333,0.587,135.685,0,0.116966667,84.33333333,24
0.667333333,0.729,0.1122,0.621666667,103.1906667,0,0.512666667,58.33333333,7
0.742666667,0.731333333,0.111433333,0.496333333,135.9893333,0.558993333,0.010996667,20.66666667,16
