energy,dance,liveness,valence,instrumental,acoustic
0.549423333,0.475666667,0.345566667,0.498666667,0.296299033,0.474553333
0.512333333,0.584666667,0.183766667,0.622,0.000135,0.485
0.571,0.627333333,0.212,0.446,0.000289467,0.114106667
0.715666667,0.649666667,0.145133333,0.486666667,0.000753877,0.073693333
0.459333333,0.542333333,0.083366667,0.331233333,0.088333333,0.642333333
0.535666667,0.551,0.392833333,0.354666667,0,0.679
0.623333333,0.687666667,0.116333333,0.587,0,0.116966667
0.667333333,0.729,0.1122,0.621666667,0,0.512666667
0.742666667,0.731333333,0.111433333,0.496333333,0.558993333,0.010996667
0.533,0.658666667,0.105533333,0.415666667,2.53E-05,0.321233333
0.726666667,0.633,0.089433333,0.539,0.0002849,0.066666667
0.642666667,0.729,0.17,0.390666667,0.00000183,0.100466667
0.857333333,0.456666667,0.377,0.543,0.03768408,0.027043333
0.407333333,0.51,0.111833333,0.230333333,0.000500423,0.520066667
0.491,0.454,0.124766667,0.322333333,0.026210967,0.275393333
0.701,0.736,0.200333333,0.403666667,0,0.1194
0.573,0.322,0.268333333,0.1769,0.047170433,0.1797
0.686333333,0.648,0.2364,0.578333333,0.1098,0.1919
0.702333333,0.741,0.219333333,0.516333333,0.000976667,0.142356667
0.474,0.569666667,0.137,0.317,0.00021703,0.521933333
0.778333333,0.468666667,0.204133333,0.45,0.00035316,0.1686836
0.548333333,0.615333333,0.108733333,0.286666667,0.000910833,0.051
0.761333333,0.645,0.218366667,0.403666667,0.309072333,0.181833333
0.516666667,0.695333333,0.066966667,0.532333333,0.001845507,0.212266667
0.513333333,0.642333333,0.463,0.3,0.000160417,0.17193
0.578666667,0.775666667,0.366,0.300666667,0.003796417,0.05277
0.564666667,0.821,0.148,0.485333333,5.63E-05,0.298383333
0.375666667,0.423666667,0.1637,0.159666667,5.33E-06,0.768333333
0.513666667,0.759,0.116333333,0.535333333,0.00010983,0.224
0.608333333,0.699,0.108,0.45,3.08E-06,0.304333333
0.636333333,0.825,0.105866667,0.658,1.98E-06,0.189866667
0.812,0.571,0.22,0.615666667,0.0021806,0.01828
0.526666667,0.533,0.173333333,0.229333333,0.00023403,0.0755
0.578,0.637333333,0.080766667,0.535,0.00047798,0.162066667
0.913333333,0.397,0.336866667,0.401666667,0.279735333,0.0002292
0.61,0.629,0.21,0.396333333,0.001872503,0.260633333
0.715666667,0.627666667,0.2688,0.54,5.97E-07,0.221566667
0.816666667,0.581333333,0.179,0.473333333,0.0000034,0.06292
0.610666667,0.815333333,0.147666667,0.586333333,0.0000958,0.148233333
0.607,0.754333333,0.1409,0.591666667,0.000121,0.373666667
0.795666667,0.567333333,0.141333333,0.377666667,0.043026667,0.267333333
0.557,0.839333333,0.101966667,0.571666667,0.001053333,0.1605
0.597666667,0.745666667,0.1006,0.490666667,0.015293333,0.498466667
0.706333333,0.558333333,0.215666667,0.420333333,0.377333333,0.180668637
0.643,0.611333333,0.1825,0.339,0.00082,0.124506667
0.666333333,0.671333333,0.326333333,0.521666667,0,0.350933333
0.692,0.740666667,0.215,0.365,0.00002533,0.1022
0.763333333,0.718666667,0.292,0.713666667,1.36E-05,0.191163333
0.658666667,0.721333333,0.172933333,0.634333333,8.07E-07,0.253333333
0.526666667,0.731333333,0.096333333,0.562666667,3.97E-06,0.165933333
0.827666667,0.728,0.230333333,0.714666667,0.000203667,0.034703333
0.612333333,0.659666667,0.120333333,0.484666667,1.53E-05,0.08726
0.855666667,0.493333333,0.279666667,0.564666667,0.246666667,0.017887
0.547,0.581,0.228666667,0.208,0.001333333,0.045773333
0.703666667,0.528333333,0.391966667,0.728,0.001714843,0.612666667
0.544,0.41,0.122,0.249,0.00214,0.522333333
0.853333333,0.557333333,0.177,0.784333333,0.00000077,0.070436667
0.822,0.488333333,0.222666667,0.334666667,0.000676667,0.01551
0.492,0.554666667,0.097066667,0.180933333,0.005799967,0.530333333
0.569,0.756666667,0.220666667,0.421333333,0.00000723,0.2493
0.554,0.624666667,0.114666667,0.223666667,0,0.1277
0.601666667,0.707,0.115533333,0.411,0.000908497,0.207333333
0.638333333,0.6,0.193,0.315666667,6.25E-05,0.200166667
0.371666667,0.434,0.094133333,0.402333333,0.002075933,0.452
0.738666667,0.754,0.328833333,0.653333333,0.00285,0.256253333
0.763666667,0.625,0.240666667,0.542333333,0.0017,0.1164
0.863,0.622333333,0.2513,0.485333333,0.00000054,0.11242
0.755,0.773333333,0.291533333,0.495666667,0.000467357,0.208166667
0.599666667,0.550333333,0.188333333,0.404333333,0,0.227
0.614933333,0.483333333,0.342333333,0.408666667,8.49E-05,0.297973333
0.846333333,0.520333333,0.1157,0.509333333,0.001646667,0.086396667
0.665666667,0.729333333,0.196733333,0.481,0.0000092,0.41
0.687,0.655666667,0.125866667,0.519666667,0.00000721,0.190666667
0.644666667,0.636,0.1239,0.412333333,0,0.373333333
0.876333333,0.610333333,0.126933333,0.531,0.043026667,0.1222
0.664,0.633666667,0.097433333,0.382,0.021746667,0.067533333
0.23,0.244666667,0.080733333,0.0571,0.894333333,0.933333333
0.559666667,0.620666667,0.143933333,0.412,0.00094419,0.29125
0.69,0.619666667,0.180666667,0.4,0.00000183,0.104266667
0.69,0.606,0.222,0.406966667,0.000343333,0.296633333
0.4483,0.560666667,0.180333333,0.174333333,0.000118333,0.356943333
0.670333333,0.532,0.163733333,0.431,0.007347367,0.131986667
0.506666667,0.599666667,0.0972,0.297666667,0.000833677,0.471666667
0.701666667,0.602,0.2723,0.751,3.67E-05,0.048933333
0.588333333,0.834333333,0.1031,0.553,0.273333333,0.330333333
0.345,0.435666667,0.107866667,0.202833333,0.00000081,0.693333333
0.558,0.537333333,0.264,0.48,0,0.4173
0.811,0.532,0.126333333,0.330766667,0.02627087,0.028773333
0.739,0.632666667,0.322233333,0.663333333,7.35E-05,0.321966667
0.415,0.372,0.307333333,0.307666667,0.00280111,0.574666667
0.753666667,0.675666667,0.135666667,0.385333333,0.00000644,0.174
0.78,0.551333333,0.2101,0.365666667,0.179895333,0.031173333
0.829,0.443333333,0.212233333,0.382,0.228692207,0.080393333
0.690333333,0.497666667,0.1861,0.546333333,0.064826667,0.315546667
0.765666667,0.526333333,0.172666667,0.426333333,6.06E-05,0.05653
0.896333333,0.413,0.2122,0.548333333,0.255001037,0.004982
0.411333333,0.586666667,0.116733333,0.255666667,0.001643333,0.622666667
0.716333333,0.498333333,0.273666667,0.450333333,0.308709,0.071085
0.616,0.460333333,0.0825,0.465333333,0.002780067,0.3165
0.732666667,0.685,0.131066667,0.610666667,0.000857463,0.1201
0.645666667,0.565,0.089633333,0.611666667,0.357533333,0.318333333
0.91,0.524,0.063066667,0.641,0.00000558,0.024571333
0.811333333,0.611666667,0.090066667,0.642,0.000763333,0.019166667
0.882333333,0.462666667,0.241,0.491333333,0.123000407,0.086633333
0.407033333,0.504666667,0.125933333,0.517666667,0.0044532,0.375066667
0.976333333,0.316333333,0.158033333,0.232,0.291776667,6.36E-05
0.787333333,0.541333333,0.189333333,0.532333333,0,0.189061333
0.846333333,0.395666667,0.224166667,0.395666667,0,0.1698
