tempo,popularity,energy,health_categorical
127.6753333,89.66666667,0.608333333,Medium-Health
119.9876667,88,0.636333333,High-Health
108.43,52,0.812,Medium-Health
129.4763333,69,0.526666667,Medium-Health
117.653,82.66666667,0.578,Low-Health
154.2953333,52.33333333,0.913333333,Medium-Health
122.361,61.66666667,0.61,Medium-Health
116.818,67.66666667,0.715666667,High-Health
133.939,74,0.816666667,Medium-Health
138.677,68,0.610666667,Medium-Health
87.33033333,82,0.607,Low-Health
134.548,87,0.795666667,Medium-Health
121.3053333,77,0.557,High-Health
123.004,46.33333333,0.597666667,Medium-Health
122.107,43.33333333,0.706333333,Medium-Health
113.278,73.66666667,0.643,Medium-Health
116.3563333,85,0.666333333,Medium-Health
135.0013333,77,0.692,High-Health
115.3226667,83.33333333,0.763333333,High-Health
132.936,60.66666667,0.658666667,Medium-Health
129.046,78.66666667,0.526666667,High-Health
120.8506667,80,0.827666667,High-Health
126.033,92.33333333,0.612333333,Medium-Health
126.2306667,67.33333333,0.855666667,Medium-Health
128.3523333,73,0.547,High-Health
140.8136667,64.66666667,0.703666667,High-Health
156.376,62.33333333,0.544,Medium-Health
151.9773333,45.33333333,0.853333333,Low-Health
159.81,66.66666667,0.822,High-Health
134.6723333,60.33333333,0.492,High-Health
129.0373333,65,0.569,Low-Health
128.2273333,75.33333333,0.554,Medium-Health
125.365,90.66666667,0.601666667,Medium-Health
125.3836667,74.66666667,0.638333333,Medium-Health
90.44166667,53.66666667,0.371666667,Medium-Health
128.682,55,0.738666667,Medium-Health
125.5563333,70,0.763666667,High-Health
124.76,67.66666667,0.863,High-Health
108.9883333,65.33333333,0.755,High-Health
111.2943333,77,0.599666667,High-Health
110.1876667,46.66666667,0.614933333,High-Health
136.653,34,0.846333333,Medium-Health
129.2856667,67,0.665666667,Medium-Health
125.6376667,73.33333333,0.687,Medium-Health
105.2226667,78.33333333,0.644666667,High-Health
132.267,88,0.876333333,Medium-Health
112.6423333,56,0.664,Medium-Health
105.8146667,58.66666667,0.23,High-Health
121.9683333,64,0.559666667,Medium-Health
129.6866667,79,0.69,High-Health
114.6973333,71,0.69,Medium-Health
100.3023333,57.66666667,0.4483,Medium-Health
94.86666667,51.66666667,0.670333333,Medium-Health
101.3553333,75.66666667,0.506666667,High-Health
117.334,69.66666667,0.701666667,High-Health
110.6493333,68.33333333,0.588333333,Low-Health
127.403,50,0.345,High-Health
109.141,59.33333333,0.558,Medium-Health
110.0233333,60.66666667,0.811,Low-Health
94.07933333,61.66666667,0.739,High-Health
142.6543333,46.66666667,0.415,Medium-Health
107.1386667,60.66666667,0.753666667,Medium-Health
107.707,60,0.78,Low-Health
149.208,50,0.829,High-Health
131.628,42.33333333,0.690333333,Medium-Health
133.7106667,57.66666667,0.765666667,Low-Health
114.0403333,62.33333333,0.896333333,Medium-Health
102.6656667,65.66666667,0.411333333,Medium-Health
102.6326667,45.66666667,0.716333333,Low-Health
141.5086667,44.66666667,0.616,Low-Health
124.0053333,56.66666667,0.732666667,High-Health
112.3116667,49.66666667,0.645666667,High-Health
131.863,55.66666667,0.91,High-Health
110.25,62,0.811333333,Medium-Health
131.2596667,59.66666667,0.882333333,Low-Health
107.001,65.66666667,0.407033333,Medium-Health
154.9066667,38,0.976333333,High-Health
117.703,64.66666667,0.787333333,Medium-Health
133.6253333,28.33333333,0.846333333,High-Health
115.505,53.66666667,0.607,Low-Health
114.599,64.66666667,0.602,Low-Health
118.852,46.33333333,0.773,Medium-Health
129.928,55.33333333,0.843,Medium-Health
99.664,64.33333333,0.656333333,Low-Health
137.441,42.33333333,0.917666667,High-Health
115.1266667,0,0.149466667,High-Health
108.2173333,58.33333333,0.438333333,Medium-Health
100.6963333,67,0.703333333,Low-Health
98.00033333,31,0.526333333,High-Health
131.638,62.66666667,0.783666667,High-Health
126.297,59.66666667,0.676333333,Medium-Health
98.95533333,34.33333333,0.019326667,Low-Health
145.7033333,42.66666667,0.667666667,Medium-Health
82.336,55.33333333,0.4375,Low-Health
121.7776667,52.33333333,0.603333333,Medium-Health
107.3996667,50.33333333,0.739333333,High-Health
152.9473333,53.66666667,0.563666667,Medium-Health
128.1303333,45.33333333,0.628333333,Medium-Health
137.96,87.66666667,0.624,Low-Health
133.3096667,43.33333333,0.649333333,Medium-Health
153.4776667,46.66666667,0.739666667,Low-Health
115.9023333,31.33333333,0.741,Medium-Health
131.9636667,49.66666667,0.746,Medium-Health
129.4233333,36.33333333,0.796333333,Low-Health
143.8103333,32.66666667,0.701333333,Medium-Health
109.6363333,78,0.715,Medium-Health
144.0273333,42.33333333,0.891333333,Low-Health
110.8143333,48.33333333,0.601,High-Health
146.419,45.33333333,0.907666667,Medium-Health
